timestamp,heart_rate,calories_burned,activity_type
2024-10-10 17:17:03.697904,143,227.5714819864377,Cycling
2024-10-10 17:27:03.697904,165,493.33572937055015,Walking
2024-10-10 17:37:03.697904,65,250.24906972209612,Walking
2024-10-10 17:47:03.697904,65,437.84250864934194,Walking
2024-10-10 17:57:03.697904,178,449.871312552012,Swimming
2024-10-10 18:07:03.697904,98,131.14356751859813,Running
2024-10-10 18:17:03.697904,171,129.54527738707569,Running
2024-10-10 18:27:03.697904,67,55.153957993247616,Cycling
2024-10-10 18:37:03.697904,139,147.97598099820618,Swimming
2024-10-10 18:47:03.697904,102,81.64789845886065,Walking
2024-10-10 18:57:03.697904,100,146.20304661856545,Walking
2024-10-10 19:07:03.697904,174,230.77866178242797,Cycling
2024-10-10 19:17:03.697904,164,125.61655021438197,Swimming
2024-10-10 19:27:03.697904,174,247.11247493239537,Walking
2024-10-10 19:37:03.697904,148,356.9540110163936,Cycling
2024-10-10 19:47:03.697904,124,116.32660503638725,Running
2024-10-10 19:57:03.697904,77,79.78260699093808,Walking
2024-10-10 20:07:03.697904,74,250.3678701756995,Swimming
2024-10-10 20:17:03.697904,80,360.96124587489817,Cycling
2024-10-10 20:27:03.697904,164,412.25158468193735,Walking
2024-10-10 20:37:03.697904,81,51.627501355758476,Running
2024-10-10 20:47:03.697904,172,410.5668891610647,Cycling
2024-10-10 20:57:03.697904,150,80.4511924065288,Swimming
2024-10-10 21:07:03.697904,169,108.58897921361037,Cycling
2024-10-10 21:17:03.697904,161,254.08157426028737,Running
2024-10-10 21:27:03.697904,84,78.57271510583189,Swimming
2024-10-10 21:37:03.697904,176,446.75359848076585,Swimming
2024-10-10 21:47:03.697904,74,389.81482661252454,Cycling
2024-10-10 21:57:03.697904,138,205.0028978809121,Running
2024-10-10 22:07:03.697904,108,118.7525776800651,Cycling
2024-10-10 22:17:03.697904,123,492.11339928745815,Walking
2024-10-10 22:27:03.697904,140,123.52506127179166,Walking
2024-10-10 22:37:03.697904,118,428.9411406523202,Cycling
2024-10-10 22:47:03.697904,128,100.96914057791483,Swimming
2024-10-10 22:57:03.697904,80,333.93960663770156,Swimming
2024-10-10 23:07:03.697904,88,221.28508356588378,Walking
2024-10-10 23:17:03.697904,80,456.3964404799837,Cycling
2024-10-10 23:27:03.697904,109,212.24961618287426,Cycling
2024-10-10 23:37:03.697904,145,89.81381421415247,Walking
2024-10-10 23:47:03.697904,163,125.91251720285426,Walking
2024-10-10 23:57:03.697904,131,141.76437959186254,Cycling
2024-10-11 00:07:03.697904,94,119.58171547267526,Cycling
2024-10-11 00:17:03.697904,127,361.1987811459384,Walking
2024-10-11 00:27:03.697904,123,448.4156341715386,Running
2024-10-11 00:37:03.697904,84,422.1382365818259,Walking
2024-10-11 00:47:03.697904,61,310.3938555518884,Swimming
2024-10-11 00:57:03.697904,163,107.78395235855947,Walking
2024-10-11 01:07:03.697904,124,497.40612182000103,Cycling
2024-10-11 01:17:03.697904,147,114.20033695428769,Running
2024-10-11 01:27:03.697904,67,474.58940896065957,Walking
2024-10-11 01:37:03.697904,151,166.66338952299495,Cycling
2024-10-11 01:47:03.697904,179,159.52320974226754,Cycling
2024-10-11 01:57:03.697904,146,132.9676058908567,Running
2024-10-11 02:07:03.697904,89,71.56780753951472,Cycling
2024-10-11 02:17:03.697904,117,165.17586643179038,Swimming
2024-10-11 02:27:03.697904,124,147.55047566212866,Running
2024-10-11 02:37:03.697904,74,490.9301305966314,Running
2024-10-11 02:47:03.697904,99,144.96155337778845,Swimming
2024-10-11 02:57:03.697904,93,477.878838630219,Walking
2024-10-11 03:07:03.697904,83,277.1200976809385,Running
2024-10-11 03:17:03.697904,146,184.40127499009827,Running
2024-10-11 03:27:03.697904,106,429.3325296869405,Walking
2024-10-11 03:37:03.697904,97,440.57616479177693,Running
2024-10-11 03:47:03.697904,78,176.87118116905594,Cycling
2024-10-11 03:57:03.697904,154,208.62374512157083,Walking
2024-10-11 04:07:03.697904,134,486.3613525928211,Running
2024-10-11 04:17:03.697904,64,474.10153480784203,Cycling
2024-10-11 04:27:03.697904,78,373.65141342022406,Swimming
2024-10-11 04:37:03.697904,111,326.4203094690031,Running
2024-10-11 04:47:03.697904,112,331.84283269030146,Running
2024-10-11 04:57:03.697904,75,229.78813727145916,Walking
2024-10-11 05:07:03.697904,90,267.8862445221754,Walking
2024-10-11 05:17:03.697904,86,432.67733228273994,Cycling
2024-10-11 05:27:03.697904,149,186.75105634544445,Running
2024-10-11 05:37:03.697904,128,123.47414384487149,Walking
2024-10-11 05:47:03.697904,139,333.6763049012314,Walking
2024-10-11 05:57:03.697904,165,171.42861505532656,Swimming
2024-10-11 06:07:03.697904,161,151.53373245398308,Running
2024-10-11 06:17:03.697904,172,274.3914065525792,Cycling
2024-10-11 06:27:03.697904,180,299.47138632098336,Running
2024-10-11 06:37:03.697904,71,434.7360216011826,Swimming
2024-10-11 06:47:03.697904,81,373.94469774120694,Cycling
2024-10-11 06:57:03.697904,81,433.89483731665956,Swimming
2024-10-11 07:07:03.697904,87,280.5557959291744,Cycling
2024-10-11 07:17:03.697904,144,256.9190257579147,Running
2024-10-11 07:27:03.697904,140,106.43720896226822,Swimming
2024-10-11 07:37:03.697904,131,224.3480532329011,Walking
2024-10-11 07:47:03.697904,62,335.30461761038913,Running
2024-10-11 07:57:03.697904,169,80.36294411533038,Cycling
2024-10-11 08:07:03.697904,60,197.81303574139753,Cycling
2024-10-11 08:17:03.697904,174,243.75083960386266,Cycling
2024-10-11 08:27:03.697904,107,128.437557271838,Running
2024-10-11 08:37:03.697904,168,448.21207138356976,Swimming
2024-10-11 08:47:03.697904,155,86.49848071739059,Cycling
2024-10-11 08:57:03.697904,140,158.4835406996815,Cycling
2024-10-11 09:07:03.697904,108,345.36725960451656,Running
2024-10-11 09:17:03.697904,172,96.2656339501726,Running
2024-10-11 09:27:03.697904,157,385.5727437247834,Swimming
2024-10-11 09:37:03.697904,110,416.16933107277043,Walking
2024-10-11 09:47:03.697904,157,93.9733444212173,Running
